,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
276,Southeastern Louisiana,34,19,15,0.559,-9.03,-5.77,,10,4,,10,1,,5,11,,78.8,77.7,,40.1,26.8,58.3,0.46,8.88,24.9,0.357,16.3,21.5,0.758,9.24,32.9,15.3,7.94,3.88,14.3,16
277,Southern,31,17,14,0.548,-5.17,-6.9,,11,6,,9,2,,8,11,,71.9,67.9,,40.2,25.5,57.9,0.44,6.87,19.5,0.353,14,20.1,0.696,9.55,31.5,13.4,10.5,2.58,14.5,20.5
278,Southern California ,34,26,8,0.765,12.5,6.09,,14,6,,13,3,,9,3,,72.4,66,,40.3,26.8,58.9,0.455,6.76,18.9,0.357,12.1,18.2,0.664,11.7,40.1,14.3,5,4.44,12.2,15.6
279,Southern Illinois,31,16,15,0.516,2.83,0.73,,9,9,,11,4,,4,8,,64,61.4,,40,23,51.6,0.446,7.71,21.8,0.354,10.3,15,0.69,7.03,30.4,12,5.48,2.1,11.4,15.3
280,SIU Edwardsville,32,11,21,0.344,-10.37,-4.71,,5,13,,8,5,,3,13,,67.5,69.9,,40.5,24.1,57.8,0.418,5.88,20.2,0.291,13.4,19.4,0.691,12.8,37.4,12.3,7.13,3.81,15.1,18.3
281,Southern Methodist,33,24,9,0.727,11.14,4.44,,13,4,,17,1,,6,5,,73.8,67.1,,40.2,25.1,56.9,0.44,8.48,24,0.354,15.2,20.3,0.75,9.48,37.8,13.8,6.27,4.3,12.3,15.2
282,Southern Mississippi,33,7,26,0.212,-13.58,-0.38,,1,17,,3,11,,1,14,,64.4,74.9,,40.3,24.3,56.5,0.429,5.36,17.1,0.313,10.5,15.3,0.688,8.21,33.5,12.3,5,2.76,13.3,16
283,Southern Utah,35,23,12,0.657,-1.51,-4.57,,14,6,,13,3,,8,8,,77.7,72.5,,40.6,27.5,59.7,0.461,8.34,24.3,0.343,14.4,20.2,0.714,10.1,37.6,12.1,6.06,2.49,12.7,17
284,St. Bonaventure,33,23,10,0.697,8.27,4.79,,12,5,,13,2,,7,4,,70,66.5,,40.2,26.3,58.1,0.453,6.06,18.3,0.331,11.3,15.1,0.751,8.97,33.6,13.7,6.33,4.76,10.3,13.3
285,St. Francis (NY),30,10,20,0.333,-13.49,-7.93,,7,11,,3,9,,7,9,,67.2,70.5,,40.3,24.9,60.8,0.409,7,22.3,0.314,10.5,14.8,0.711,11.3,35.3,11.9,6.67,2.6,12.4,16.6
